semester_code,class_number,course_code,assessment_title,learning_outcomes,notes
7660,61540,IBUS7312,Asian Country Analysis - WKS Oral Presentation,"LO1, LO2, LO3, LO4","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,61540,IBUS7312,Business In An Asian Region,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7620,20352,MGTS1301,Final Exam,"LO1, LO2, LO3","Carried forward from 7560 (scraped): the 7620 profile shows LO1, LO2, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60447,MGTS3301,The Carnival of AI,"LO1, LO2","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60452,MGTS7301,In-Semester Examination,"LO1, LO3, LO4","Carried forward from 7620 (scraped): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60454,MGTS7329,Group Cross-Cultural Reflection & Emic Analysis,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60454,MGTS7329,Cross-Cultural Work Adjustment Assignment,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60454,MGTS7329,Final Examination,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60455,MGTS7523,Systems thinking report proposal,"LO1, LO3","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60455,MGTS7523,Systems Thinking Presentation,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60455,MGTS7523,In-class Model Design Challenge,"LO1, LO2, LO3, LO4","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60455,MGTS7523,System Dynamics Modelling Assignment,"LO1, LO2, LO3, LO4","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7620,20365,MGTS7603,A1: In Seminar Exercises,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7560 (scraped): the 7620 profile shows LO1, LO2, LO3, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7620,20365,MGTS7603,A2: Current Issues in Strategic Human Resource Mang,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7560 (scraped): the 7620 profile shows LO1, LO4, LO5, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
